us;mV
-3.79130209;144.7493
-3.78630209;141.1023
-3.78130209;144.7493
-3.77630209;141.1023
-3.77130209;144.7493
-3.76630209;141.1023
-3.76130209;144.7493
-3.75630209;141.1023
-3.75130209;144.7493
-3.74630209;141.1023
-3.74130209;144.7493
-3.73630209;141.1023
-3.73130209;140.2325
-3.72630209;141.1023
-3.72130209;140.2325
-3.71630209;141.1023
-3.71130209;140.2325
-3.70630209;141.1023
-3.70130209;135.7005
-3.69630209;141.1023
-3.69130209;135.7005
-3.68630209;141.1023
-3.68130209;135.7005
-3.67630209;136.5703
-3.67130209;135.7005
-3.66630209;136.5703
-3.66130209;135.7005
-3.65630209;136.5703
-3.65130209;135.7005
-3.64630209;136.5703
-3.64130209;135.7005
-3.63630209;136.5703
-3.63130209;135.7005
-3.62630209;136.5703
-3.62130209;135.7005
-3.61630209;136.5703
-3.61130209;135.7005
-3.60630209;136.5703
-3.60130209;135.7005
-3.59630209;132.0383
-3.59130209;135.7005
-3.58630209;132.0383
-3.58130209;131.1685
-3.57630209;132.0383
-3.57130209;135.7005
-3.56630209;132.0383
-3.56130209;135.7005
-3.55630209;132.0383
-3.55130209;131.1685
-3.54630209;132.0383
-3.54130209;131.1685
-3.53630209;127.5063
-3.53130209;131.1685
-3.52630209;127.5063
-3.52130209;131.1685
-3.51630209;132.0383
-3.51130209;131.1685
-3.50630209;127.5063
-3.50130209;131.1685
-3.49630209;127.5063
-3.49130209;126.6518
-3.48630209;127.5063
-3.48130209;131.1685
-3.47630209;127.5063
-3.47130209;126.6518
-3.46630209;127.5063
-3.46130209;126.6518
-3.45630209;127.5063
-3.45130209;126.6518
-3.44630209;127.5063
-3.44130209;126.6518
-3.43630209;127.5063
-3.43130209;126.6518
-3.42630209;127.5063
-3.42130209;126.6518
-3.41630209;127.5063
-3.41130209;126.6518
-3.40630209;122.9743
-3.40130209;126.6518
-3.39630209;122.9743
-3.39130209;126.6518
-3.38630209;122.9743
-3.38130209;126.6518
-3.37630209;122.9743
-3.37130209;126.6518
-3.36630209;122.9743
-3.36130209;126.6518
-3.35630209;122.9743
-3.35130209;122.1198
-3.34630209;122.9743
-3.34130209;126.6518
-3.33630209;122.9743
-3.33130209;122.1198
-3.32630209;122.9743
-3.32130209;122.1198
-3.31630209;122.9743
-3.31130209;122.1198
-3.30630209;122.9743
-3.30130209;122.1198
-3.29630209;122.9743
-3.29130209;122.1198
-3.28630209;122.9743
-3.28130209;122.1198
-3.27630209;122.9743
-3.27130209;122.1198
-3.26630209;118.4423
-3.26130209;117.6031
-3.25630209;118.4423
-3.25130209;117.6031
-3.24630209;118.4423
-3.24130209;117.6031
-3.23630209;118.4423
-3.23130209;117.6031
-3.22630209;118.4423
-3.22130209;117.6031
-3.21630209;118.4423
-3.21130209;117.6031
-3.20630209;118.4423
-3.20130209;117.6031
-3.19630209;113.9103
-3.19130209;117.6031
-3.18630209;113.9103
-3.18130209;117.6031
-3.17630209;113.9103
-3.17130209;117.6031
-3.16630209;113.9103
-3.16130209;117.6031
-3.15630209;113.9103
-3.15130209;117.6031
-3.14630209;113.9103
-3.14130209;117.6031
-3.13630209;113.9103
-3.13130209;113.0711
-3.12630209;113.9103
-3.12130209;113.0711
-3.11630209;113.9103
-3.11130209;113.0711
-3.10630209;113.9103
-3.10130209;113.0711
-3.09630209;113.9103
-3.09130209;113.0711
-3.08630209;113.9103
-3.08130209;113.0711
-3.07630209;113.9103
-3.07130209;108.5543
-3.06630209;113.9103
-3.06130209;113.0711
-3.05630209;109.3631
-3.05130209;113.0711
-3.04630209;118.4423
-3.04130209;122.1198
-3.03630209;122.9743
-3.03130209;126.6518
-3.02630209;127.5063
-3.02130209;131.1685
-3.01630209;132.0383
-3.01130209;135.7005
-3.00630209;141.1023
-3.00130209;144.7493
-2.99630209;145.6496
-2.99130209;149.2813
-2.98630209;150.1816
-2.98130209;153.798
-2.97630209;159.2456
-2.97130209;158.33
-2.96630209;159.2456
-2.96130209;162.8468
-2.95630209;163.7776
-2.95130209;171.8955
-2.94630209;172.8416
-2.94130209;176.4275
-2.93630209;177.3888
-2.93130209;180.9442
-2.92630209;186.4528
-2.92130209;190.0082
-2.91630209;190.9848
-2.91130209;190.0082
-2.90630209;195.5168
-2.90130209;199.057
-2.89630209;195.5168
-2.89130209;203.5737
-2.88630209;204.5808
-2.88130209;208.1057
-2.87630209;209.1281
-2.87130209;217.1544
-2.86630209;213.6601
-2.86130209;217.1544
-2.85630209;218.1921
-2.85130209;226.2032
-2.84630209;227.2561
-2.84130209;230.7199
-2.83630209;231.7881
-2.83130209;235.2519
